epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.26386,0,47.6166,0,0.0106,0.55556,0.06975,0.02522,1.67092,3.29089,1.57803,0,0,0
2,10.1944,0,47.612,0,0.0106,0.55556,0.07032,0.02542,1.67741,3.29046,1.58512,1.50197e-05,1.50197e-05,1.50197e-05
3,14.6726,0,47.5129,0,0.01118,0.58333,0.0571,0.02274,1.67898,3.28866,1.58847,2.67387e-05,2.67387e-05,2.67387e-05
4,19.0659,0,47.2572,0,0.01065,0.54762,0.06182,0.02519,1.67108,3.27635,1.57628,3.5157e-05,3.5157e-05,3.5157e-05
5,23.3309,0,47.0631,0,0.00983,0.52778,0.05431,0.02048,1.62938,3.28599,1.56465,4.02747e-05,4.02747e-05,4.02747e-05
6,27.3062,0,46.8087,0,0.00932,0.49206,0.05049,0.01792,1.61995,3.28326,1.56356,4.20917e-05,4.20917e-05,4.20917e-05
7,31.7741,0,46.6906,0,0.00929,0.49206,0.04789,0.01716,1.62214,3.28277,1.56519,4.06081e-05,4.06081e-05,4.06081e-05
8,36.242,0,46.4538,0,0.00925,0.49206,0.04397,0.01825,1.62599,3.27941,1.56521,3.58238e-05,3.58238e-05,3.58238e-05
9,40.5512,0,46.3277,0,0.00974,0.52778,0.03934,0.01797,1.64673,3.27124,1.57621,2.77389e-05,2.77389e-05,2.77389e-05
10,44.8159,0,46.2286,0,0.00919,0.49206,0.03385,0.01731,1.65704,3.25946,1.58064,1.63533e-05,1.63533e-05,1.63533e-05
